Australian Bureau of Statistics

"2021 Census - employment, income and education"
"DZN (POW) by 1-digit level OCCP Occupation"
"Counting: Person Records"

Filters:
"Default summation","Person Records"

"1-digit level OCCP Occupation","Managers","Professionals","Technicians and Trades Workers","Community and Personal Service Workers","Clerical and Administrative Workers","Sales Workers","Machinery Operators and Drivers","Labourers","Total",
"DZN (POW)",
"410011002",469,1015,221,485,567,165,29,180,3136,
"410011003",583,1063,284,587,838,235,13,181,3787,
"410011004",596,1039,272,363,651,861,43,212,4029,
"410011005",1376,2024,590,785,1787,1406,58,433,8462,
"410011006",2125,4824,508,339,3663,287,58,234,12039,
"410011007",1322,3308,492,226,2277,310,49,159,8138,
"410011008",1602,3628,558,867,2426,643,57,410,10188,
"410011009",2197,5345,678,1118,3639,282,135,310,13702,
"410011010",671,1808,186,195,1270,12,31,37,4196,
"410011011",508,1115,179,336,662,46,32,49,2926,
"410011012",268,976,166,284,303,97,18,171,2288,
"410011013",472,1679,247,465,505,160,113,147,3786,
"410011014",14,26,20,184,43,0,0,16,313,
"410011015",438,696,391,250,530,220,115,189,2824,
"410011016",574,1559,354,418,828,225,63,177,4194,
"410011017",708,2572,286,1338,1549,153,54,221,6889,
"410011018",365,996,283,299,470,118,46,140,2710,
"410011019",203,947,132,252,334,90,37,100,2095,
"410011020",541,1847,229,228,833,92,19,66,3863,
"410011021",361,594,209,324,154,143,8,81,1872,
"410011022",113,130,138,98,60,24,3,34,600,
"410011023",177,505,149,19,180,10,10,24,1073,
"410011024",381,1903,208,238,464,28,8,97,3329,
"410011025",790,5600,646,1920,1318,141,217,576,11214,
"410021026",97,623,67,239,160,6,19,75,1290,
"410021027",268,287,135,438,162,59,8,161,1500,
"410021028",128,2438,117,316,484,12,50,113,3652,
"410021029",183,292,158,221,225,157,9,91,1348,
"410021030",128,188,134,187,92,92,5,85,909,
"410021031",141,335,68,117,237,73,4,33,996,
"410021032",104,174,70,195,84,41,3,40,703,
"Total",17897,49532,8175,13324,26783,6185,1330,4852,128077,

"Data source: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2026, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
