MB (UR),2-digit level  MTWP Method of Travel to Work,Count
40000080000,Motorbike/scooter,0
40000080000,"Car, as driver",0
40000080000,"Car, as passenger",0
40000080000,Bicycle,0
40000080000,Walked only,0
40000080000,Train,0
40000080000,Bus,0
40000080000,Taxi/ride-share service,0
40000080000,Other Mode,0
40000080000,Total,0
40000100000,Motorbike/scooter,7
40000100000,"Car, as driver",25
40000100000,"Car, as passenger",0
40000100000,Bicycle,0
40000100000,Walked only,4
40000100000,Train,0
40000100000,Bus,5
40000100000,Taxi/ride-share service,0
40000100000,Other Mode,0
40000100000,Total,47
40000110000,Motorbike/scooter,0
40000110000,"Car, as driver",16
40000110000,"Car, as passenger",3
40000110000,Bicycle,0
40000110000,Walked only,0
40000110000,Train,0
40000110000,Bus,5
40000110000,Taxi/ride-share service,0
40000110000,Other Mode,0
40000110000,Total,24
40000120000,Motorbike/scooter,0
40000120000,"Car, as driver",11
40000120000,"Car, as passenger",0
40000120000,Bicycle,3
40000120000,Walked only,4
40000120000,Train,0
40000120000,Bus,3
40000120000,Taxi/ride-share service,0
40000120000,Other Mode,0
40000120000,Total,18
40000130000,Motorbike/scooter,0
40000130000,"Car, as driver",6
40000130000,"Car, as passenger",0
40000130000,Bicycle,0
40000130000,Walked only,0
40000130000,Train,0
40000130000,Bus,0
40000130000,Taxi/ride-share service,0
40000130000,Other Mode,0
40000130000,Total,10
40000190000,Motorbike/scooter,0
40000190000,"Car, as driver",7
40000190000,"Car, as passenger",0
40000190000,Bicycle,0
40000190000,Walked only,9
40000190000,Train,0
40000190000,Bus,6
40000190000,Taxi/ride-share service,0
40000190000,Other Mode,0
40000190000,Total,31
40000210000,Motorbike/scooter,0
40000210000,"Car, as driver",10
40000210000,"Car, as passenger",0
40000210000,Bicycle,0
40000210000,Walked only,3
40000210000,Train,0
40000210000,Bus,5
40000210000,Taxi/ride-share service,0
40000210000,Other Mode,0
40000210000,Total,17
40000251000,Motorbike/scooter,0
40000251000,"Car, as driver",0
40000251000,"Car, as passenger",0
40000251000,Bicycle,0
40000251000,Walked only,3
40000251000,Train,0
40000251000,Bus,0
40000251000,Taxi/ride-share service,0
40000251000,Other Mode,0
40000251000,Total,9
40000252000,Motorbike/scooter,0
40000252000,"Car, as driver",35
40000252000,"Car, as passenger",0
40000252000,Bicycle,0
40000252000,Walked only,7
40000252000,Train,0
40000252000,Bus,3
40000252000,Taxi/ride-share service,0
40000252000,Other Mode,0
40000252000,Total,49
40000253000,Motorbike/scooter,0
40000253000,"Car, as driver",0
40000253000,"Car, as passenger",0
40000253000,Bicycle,0
40000253000,Walked only,0
40000253000,Train,0
40000253000,Bus,0
40000253000,Taxi/ride-share service,0
40000253000,Other Mode,0
40000253000,Total,0
40000261000,Motorbike/scooter,0
40000261000,"Car, as driver",0
40000261000,"Car, as passenger",0
40000261000,Bicycle,0
40000261000,Walked only,3
40000261000,Train,0
40000261000,Bus,0
40000261000,Taxi/ride-share service,0
40000261000,Other Mode,0
40000261000,Total,9
40000262000,Motorbike/scooter,0
40000262000,"Car, as driver",3
40000262000,"Car, as passenger",0
40000262000,Bicycle,0
40000262000,Walked only,3
40000262000,Train,0
40000262000,Bus,3
40000262000,Taxi/ride-share service,0
40000262000,Other Mode,0
40000262000,Total,17
40000270000,Motorbike/scooter,0
40000270000,"Car, as driver",24
40000270000,"Car, as passenger",0
40000270000,Bicycle,0
40000270000,Walked only,11
40000270000,Train,0
40000270000,Bus,3
40000270000,Taxi/ride-share service,0
40000270000,Other Mode,0
40000270000,Total,34
40000280000,Motorbike/scooter,0
40000280000,"Car, as driver",17
40000280000,"Car, as passenger",0
40000280000,Bicycle,0
40000280000,Walked only,0
40000280000,Train,0
40000280000,Bus,5
40000280000,Taxi/ride-share service,0
40000280000,Other Mode,0
40000280000,Total,20
40000300000,Motorbike/scooter,0
40000300000,"Car, as driver",22
40000300000,"Car, as passenger",3
40000300000,Bicycle,3
40000300000,Walked only,14
40000300000,Train,0
40000300000,Bus,8
40000300000,Taxi/ride-share service,0
40000300000,Other Mode,0
40000300000,Total,51
40000311000,Motorbike/scooter,0
40000311000,"Car, as driver",0
40000311000,"Car, as passenger",0
40000311000,Bicycle,0
40000311000,Walked only,7
40000311000,Train,0
40000311000,Bus,0
40000311000,Taxi/ride-share service,0
40000311000,Other Mode,0
40000311000,Total,10
40000312000,Motorbike/scooter,0
40000312000,"Car, as driver",0
40000312000,"Car, as passenger",0
40000312000,Bicycle,0
40000312000,Walked only,0
40000312000,Train,0
40000312000,Bus,0
40000312000,Taxi/ride-share service,0
40000312000,Other Mode,0
40000312000,Total,0
40000320000,Motorbike/scooter,0
40000320000,"Car, as driver",0
40000320000,"Car, as passenger",0
40000320000,Bicycle,0
40000320000,Walked only,4
40000320000,Train,0
40000320000,Bus,0
40000320000,Taxi/ride-share service,0
40000320000,Other Mode,0
40000320000,Total,8
40000330000,Motorbike/scooter,0
40000330000,"Car, as driver",36
40000330000,"Car, as passenger",0
40000330000,Bicycle,0
40000330000,Walked only,0
40000330000,Train,0
40000330000,Bus,0
40000330000,Taxi/ride-share service,0
40000330000,Other Mode,0
40000330000,Total,40
40000340000,Motorbike/scooter,0
40000340000,"Car, as driver",19
40000340000,"Car, as passenger",3
40000340000,Bicycle,0
40000340000,Walked only,3
40000340000,Train,0
40000340000,Bus,3
40000340000,Taxi/ride-share service,0
40000340000,Other Mode,0
40000340000,Total,27
40000350000,Motorbike/scooter,0
40000350000,"Car, as driver",18
40000350000,"Car, as passenger",0
40000350000,Bicycle,0
40000350000,Walked only,10
40000350000,Train,0
40000350000,Bus,5
40000350000,Taxi/ride-share service,0
40000350000,Other Mode,0
40000350000,Total,29
40000411000,Motorbike/scooter,0
40000411000,"Car, as driver",0
40000411000,"Car, as passenger",0
40000411000,Bicycle,0
40000411000,Walked only,0
40000411000,Train,0
40000411000,Bus,0
40000411000,Taxi/ride-share service,0
40000411000,Other Mode,0
40000411000,Total,8
40000412000,Motorbike/scooter,0
40000412000,"Car, as driver",0
40000412000,"Car, as passenger",0
40000412000,Bicycle,0
40000412000,Walked only,0
40000412000,Train,0
40000412000,Bus,3
40000412000,Taxi/ride-share service,0
40000412000,Other Mode,0
40000412000,Total,7
40000500000,Motorbike/scooter,0
40000500000,"Car, as driver",5
40000500000,"Car, as passenger",0
40000500000,Bicycle,0
40000500000,Walked only,6
40000500000,Train,0
40000500000,Bus,0
40000500000,Taxi/ride-share service,0
40000500000,Other Mode,0
40000500000,Total,8
40000520000,Motorbike/scooter,0
40000520000,"Car, as driver",0
40000520000,"Car, as passenger",0
40000520000,Bicycle,0
40000520000,Walked only,0
40000520000,Train,0
40000520000,Bus,0
40000520000,Taxi/ride-share service,0
40000520000,Other Mode,0
40000520000,Total,0
40000600000,Motorbike/scooter,0
40000600000,"Car, as driver",0
40000600000,"Car, as passenger",0
40000600000,Bicycle,0
40000600000,Walked only,0
40000600000,Train,0
40000600000,Bus,0
40000600000,Taxi/ride-share service,0
40000600000,Other Mode,0
40000600000,Total,0
40000640000,Motorbike/scooter,0
40000640000,"Car, as driver",30
40000640000,"Car, as passenger",5
40000640000,Bicycle,4
40000640000,Walked only,0
40000640000,Train,0
40000640000,Bus,4
40000640000,Taxi/ride-share service,0
40000640000,Other Mode,0
40000640000,Total,35
40000651000,Motorbike/scooter,0
40000651000,"Car, as driver",8
40000651000,"Car, as passenger",0
40000651000,Bicycle,0
40000651000,Walked only,5
40000651000,Train,0
40000651000,Bus,0
40000651000,Taxi/ride-share service,0
40000651000,Other Mode,0
40000651000,Total,13
40000652000,Motorbike/scooter,0
40000652000,"Car, as driver",10
40000652000,"Car, as passenger",0
40000652000,Bicycle,0
40000652000,Walked only,5
40000652000,Train,0
40000652000,Bus,4
40000652000,Taxi/ride-share service,0
40000652000,Other Mode,0
40000652000,Total,23
40000721000,Motorbike/scooter,0
40000721000,"Car, as driver",0
40000721000,"Car, as passenger",0
40000721000,Bicycle,0
40000721000,Walked only,0
40000721000,Train,0
40000721000,Bus,0
40000721000,Taxi/ride-share service,0
40000721000,Other Mode,0
40000721000,Total,0
40000722000,Motorbike/scooter,0
40000722000,"Car, as driver",0
40000722000,"Car, as passenger",0
40000722000,Bicycle,0
40000722000,Walked only,0
40000722000,Train,0
40000722000,Bus,4
40000722000,Taxi/ride-share service,0
40000722000,Other Mode,0
40000722000,Total,11
40000723000,Motorbike/scooter,0
40000723000,"Car, as driver",0
40000723000,"Car, as passenger",0
40000723000,Bicycle,0
40000723000,Walked only,0
40000723000,Train,0
40000723000,Bus,0
40000723000,Taxi/ride-share service,0
40000723000,Other Mode,0
40000723000,Total,0
40000820000,Motorbike/scooter,0
40000820000,"Car, as driver",33
40000820000,"Car, as passenger",0
40000820000,Bicycle,3
40000820000,Walked only,0
40000820000,Train,0
40000820000,Bus,4
40000820000,Taxi/ride-share service,0
40000820000,Other Mode,0
40000820000,Total,41
40000830000,Motorbike/scooter,0
40000830000,"Car, as driver",0
40000830000,"Car, as passenger",0
40000830000,Bicycle,0
40000830000,Walked only,0
40000830000,Train,0
40000830000,Bus,0
40000830000,Taxi/ride-share service,0
40000830000,Other Mode,0
40000830000,Total,0
40000840000,Motorbike/scooter,0
40000840000,"Car, as driver",22
40000840000,"Car, as passenger",0
40000840000,Bicycle,0
40000840000,Walked only,8
40000840000,Train,0
40000840000,Bus,0
40000840000,Taxi/ride-share service,0
40000840000,Other Mode,0
40000840000,Total,31
40000862000,Motorbike/scooter,0
40000862000,"Car, as driver",0
40000862000,"Car, as passenger",0
40000862000,Bicycle,0
40000862000,Walked only,0
40000862000,Train,0
40000862000,Bus,0
40000862000,Taxi/ride-share service,0
40000862000,Other Mode,0
40000862000,Total,0
40000880000,Motorbike/scooter,0
40000880000,"Car, as driver",19
40000880000,"Car, as passenger",0
40000880000,Bicycle,0
40000880000,Walked only,0
40000880000,Train,0
40000880000,Bus,0
40000880000,Taxi/ride-share service,0
40000880000,Other Mode,0
40000880000,Total,24
40000891000,Motorbike/scooter,0
40000891000,"Car, as driver",0
40000891000,"Car, as passenger",0
40000891000,Bicycle,0
40000891000,Walked only,0
40000891000,Train,0
40000891000,Bus,0
40000891000,Taxi/ride-share service,0
40000891000,Other Mode,0
40000891000,Total,0
40000892000,Motorbike/scooter,0
40000892000,"Car, as driver",0
40000892000,"Car, as passenger",0
40000892000,Bicycle,0
40000892000,Walked only,0
40000892000,Train,0
40000892000,Bus,0
40000892000,Taxi/ride-share service,0
40000892000,Other Mode,0
40000892000,Total,0
40000900000,Motorbike/scooter,0
40000900000,"Car, as driver",21
40000900000,"Car, as passenger",0
40000900000,Bicycle,3
40000900000,Walked only,6
40000900000,Train,0
40000900000,Bus,9
40000900000,Taxi/ride-share service,0
40000900000,Other Mode,0
40000900000,Total,37
40000910000,Motorbike/scooter,0
40000910000,"Car, as driver",0
40000910000,"Car, as passenger",3
40000910000,Bicycle,0
40000910000,Walked only,0
40000910000,Train,0
40000910000,Bus,0
40000910000,Taxi/ride-share service,0
40000910000,Other Mode,0
40000910000,Total,11
40000921000,Motorbike/scooter,0
40000921000,"Car, as driver",10
40000921000,"Car, as passenger",0
40000921000,Bicycle,0
40000921000,Walked only,5
40000921000,Train,0
40000921000,Bus,4
40000921000,Taxi/ride-share service,0
40000921000,Other Mode,0
40000921000,Total,18
40000922000,Motorbike/scooter,0
40000922000,"Car, as driver",3
40000922000,"Car, as passenger",0
40000922000,Bicycle,0
40000922000,Walked only,0
40000922000,Train,0
40000922000,Bus,0
40000922000,Taxi/ride-share service,0
40000922000,Other Mode,0
40000922000,Total,3
40001250000,Motorbike/scooter,0
40001250000,"Car, as driver",6
40001250000,"Car, as passenger",0
40001250000,Bicycle,0
40001250000,Walked only,3
40001250000,Train,0
40001250000,Bus,0
40001250000,Taxi/ride-share service,0
40001250000,Other Mode,0
40001250000,Total,14
40001260000,Motorbike/scooter,0
40001260000,"Car, as driver",21
40001260000,"Car, as passenger",0
40001260000,Bicycle,0
40001260000,Walked only,9
40001260000,Train,0
40001260000,Bus,0
40001260000,Taxi/ride-share service,0
40001260000,Other Mode,0
40001260000,Total,30
40001270000,Motorbike/scooter,0
40001270000,"Car, as driver",20
40001270000,"Car, as passenger",3
40001270000,Bicycle,0
40001270000,Walked only,13
40001270000,Train,0
40001270000,Bus,4
40001270000,Taxi/ride-share service,0
40001270000,Other Mode,0
40001270000,Total,42
40001280000,Motorbike/scooter,0
40001280000,"Car, as driver",4
40001280000,"Car, as passenger",0
40001280000,Bicycle,0
40001280000,Walked only,0
40001280000,Train,0
40001280000,Bus,0
40001280000,Taxi/ride-share service,0
40001280000,Other Mode,0
40001280000,Total,3
40001291000,Motorbike/scooter,0
40001291000,"Car, as driver",5
40001291000,"Car, as passenger",0
40001291000,Bicycle,0
40001291000,Walked only,0
40001291000,Train,0
40001291000,Bus,0
40001291000,Taxi/ride-share service,0
40001291000,Other Mode,0
40001291000,Total,3
40001292000,Motorbike/scooter,0
40001292000,"Car, as driver",6
40001292000,"Car, as passenger",0
40001292000,Bicycle,0
40001292000,Walked only,0
40001292000,Train,0
40001292000,Bus,0
40001292000,Taxi/ride-share service,0
40001292000,Other Mode,0
40001292000,Total,14
40001300000,Motorbike/scooter,0
40001300000,"Car, as driver",19
40001300000,"Car, as passenger",0
40001300000,Bicycle,0
40001300000,Walked only,5
40001300000,Train,0
40001300000,Bus,0
40001300000,Taxi/ride-share service,0
40001300000,Other Mode,0
40001300000,Total,27
40001450000,Motorbike/scooter,0
40001450000,"Car, as driver",7
40001450000,"Car, as passenger",0
40001450000,Bicycle,0
40001450000,Walked only,0
40001450000,Train,0
40001450000,Bus,0
40001450000,Taxi/ride-share service,0
40001450000,Other Mode,0
40001450000,Total,4
40001480000,Motorbike/scooter,0
40001480000,"Car, as driver",16
40001480000,"Car, as passenger",0
