2-digit level  MTWP Method of Travel to Work,"Car, as driver","Car, as passenger",Train,Bus,Taxi/ride-share service,Bicycle,Walked only,Total
40000090000,9,0,0,3,0,0,7,22
40000142000,3,0,0,0,0,0,6,8
40000360000,4,0,0,3,0,0,6,15
40001800000,18,0,0,3,0,0,18,39
40001810000,5,0,0,4,0,0,5,17
40001890000,0,0,0,0,0,0,0,7
40002530000,10,0,0,0,0,0,0,17
40214955300,0,0,0,0,0,0,0,8
40214988500,12,0,0,3,0,0,3,16
40215100100,5,0,0,0,0,0,5,10
40215151800,7,0,0,0,0,0,6,14
40215293600,4,0,0,0,0,0,5,4
40244030000,14,0,0,3,0,0,4,27
40001080000,10,6,0,9,0,3,12,27
40001150000,10,0,0,7,0,0,10,30
40001410000,24,3,0,6,0,0,11,42
40002310000,13,0,0,0,0,4,12,35
40002320000,17,5,0,0,0,0,6,29
40002780000,6,0,0,0,0,0,0,9
40003260000,0,0,0,0,0,0,0,0
40244050000,10,0,0,0,0,0,0,10
40001091000,0,0,0,0,0,0,0,0
40001093000,0,0,0,0,0,0,0,0
40002820000,0,0,0,0,0,0,0,0
40003280000,0,0,0,0,0,0,0,0
40244080000,0,0,0,0,0,0,0,0
40244091000,9,0,0,4,6,0,8,23
40244092000,11,0,0,0,0,0,0,14
40244101000,3,0,0,0,0,0,0,3
40244102000,0,0,0,0,0,0,0,0
40244120000,4,0,0,0,0,0,7,15
40244130000,6,0,0,0,0,0,4,8
40000390000,47,3,0,3,4,0,20,79
40000800000,0,0,0,0,0,0,0,0
40000850000,8,0,0,0,0,0,6,16
40001340000,0,0,0,0,0,0,0,0
40001420000,31,3,0,3,0,0,10,45
40001880000,8,0,0,0,0,0,4,16
40002301000,3,0,0,0,0,0,0,9
40002302000,0,0,0,0,0,0,0,0
40003410000,13,0,0,3,0,3,9,23
40003420000,19,0,0,12,0,0,9,46
40003460000,0,0,0,0,0,0,5,13
40244010000,10,0,0,0,0,0,10,19
40001630000,6,5,0,0,0,0,9,19
40002980000,19,6,0,0,0,7,20,47
40003400000,3,0,0,8,0,0,0,11
40215046300,10,0,0,0,0,7,6,23
40215155500,11,0,0,0,0,3,11,20
40215155600,9,0,0,5,0,0,10,26
40215280300,9,0,0,8,0,0,4,18
40243990000,0,0,0,4,0,0,0,3
40244000000,12,3,0,0,0,0,0,11
40414810000,0,0,0,0,0,0,0,0
40414850000,0,0,0,0,0,0,0,0
40001110000,6,0,0,0,0,0,13,13
40001120000,6,0,0,0,0,0,7,13
40001660000,11,0,0,5,0,0,0,12
40002340000,0,0,0,0,0,0,0,0
40002360000,15,0,0,0,0,4,4,18
40243880000,30,5,0,3,0,3,31,74
40243910000,11,0,0,3,0,0,4,17
40243970000,0,0,0,0,0,0,0,0
40243980000,7,0,0,5,0,0,7,19
40000170000,4,0,0,0,0,0,9,10
40003140000,12,0,0,11,0,4,19,42
40003270000,14,0,0,0,0,0,12,22
40243890000,43,6,0,21,0,5,53,121
40243900000,0,0,0,0,0,0,0,0
40243920000,5,0,0,0,0,0,4,14
40243930000,4,0,0,0,0,0,0,4
40243950000,12,0,0,3,0,0,19,37
40243960000,0,0,0,0,0,0,0,0
40000162000,0,0,0,0,0,0,0,0
40000163000,0,0,0,0,0,0,0,0
40000164000,0,0,0,0,0,0,0,0
40000165000,0,0,0,0,0,0,0,0
40001540000,26,6,0,5,0,5,17,53
40002100000,5,0,0,9,3,0,6,19
40002960000,12,4,0,0,5,0,10,29
40244060000,10,0,0,0,0,0,3,14
40244070000,10,3,0,0,0,4,8,25
40001470000,0,0,0,0,0,0,3,3
40002610000,0,0,0,0,0,0,0,0
40003700000,0,0,0,0,0,0,0,0
40414920000,0,0,0,0,0,0,0,0
40414930000,0,0,0,0,0,0,0,0
40415100000,0,0,0,0,0,0,0,0
40000660000,35,0,0,3,0,4,8,53
40001401000,4,0,0,0,0,0,4,13
40003180000,8,0,0,4,0,0,0,13
40003390000,0,0,0,0,0,0,4,3
40214955000,12,0,0,0,0,5,9,23
40215039500,7,0,0,0,0,0,0,8
40215097900,25,3,0,0,0,5,21,59
40215151700,10,6,0,0,0,0,10,21
40243851000,0,0,0,0,0,0,0,0
40243852000,46,6,8,16,5,7,52,132
40001840000,7,0,0,4,0,5,10,30
40001850000,0,0,0,0,0,0,3,3
40002600000,10,0,0,4,0,0,4,16
40003170000,0,0,0,0,0,0,0,0
40003220000,11,0,0,3,6,4,19,33
40214963300,0,0,0,0,0,0,0,0
40214963400,21,9,0,4,0,0,19,51
40214972900,23,0,0,0,0,0,12,40
40214989800,5,0,0,3,0,0,0,14
40000790000,9,0,0,0,0,0,0,10
40000940000,3,0,0,0,0,0,0,12
40001680000,18,0,0,8,0,4,9,38
40003200000,4,0,0,0,0,0,0,7
40003380000,15,0,0,0,0,0,5,18
40215028000,0,0,0,3,0,0,4,12
40215028100,0,0,0,0,0,0,0,0
40215154900,16,3,0,0,0,6,12,39
40215299400,14,3,0,0,0,4,12,29
40244570000,5,0,0,0,0,0,0,5
40001140000,8,0,0,0,0,0,8,11
40001310000,4,4,0,0,0,0,6,18
40001600000,5,0,0,9,0,3,4,27
40002510000,10,0,0,0,0,6,3,14
40003230000,0,0,0,0,0,0,0,0
40003370000,15,4,0,4,0,8,4,34
40215152000,24,3,0,5,0,0,14,44
40244560000,0,0,0,0,0,0,0,0
40000611000,0,0,0,0,0,0,0,0
40000612000,0,0,0,0,0,0,0,0
40000614000,0,0,0,0,0,0,5,5
